Afghanistan,115.38462829589844
Africa,287.101806640625
Albania,24.482107162475586
Algeria,449.748779296875
American Samoa,733.3333129882812
Angola,168.86727905273438
Antigua and Barbuda,687.5
Argentina,347.2919616699219
Armenia,206.9425811767578
Aruba,579.54541015625
Asia,476.87091064453125
Australia,486.2549743652344
Austria,81.25418090820312
Azerbaijan,481.5190734863281
Bahamas,698.492431640625
Bahrain,489.953125
Bangladesh,446.6684265136719
Barbados,670.10302734375
Belarus,443.6255798339844
Belgium,139.72740173339844
Belize,474.5762634277344
Benin,652.1739501953125
Bhutan,23.463685989379883
Bolivia,311.47540283203125
Bosnia and Herzegovina,478.4580383300781
Botswana,800.0
Brazil,141.77426147460938
British Virgin Islands,692.3078002929688
Brunei,659.0908813476562
Bulgaria,419.3927307128906
Burkina Faso,631.25
Burundi,312.5
Cambodia,423.5294189453125
Cameroon,243.7071075439453
Canada,118.9966812133789
Cape Verde,555.5555419921875
Cayman Islands,681.159423828125
Central African Republic,425.23486328125
Chad,678.5714111328125
Chile,374.4632263183594
China,541.3317260742188
Colombia,192.6294708251953
Comoros,692.3078002929688
Congo,364.1456298828125
Cook Islands,500.0
Costa Rica,30.9033260345459
Cote d'Ivoire,421.3836669921875
Croatia,131.26708984375
Cuba,575.9049072265625
Cyprus,587.498046875
Czechia,412.2454833984375
Democratic Republic of Congo,26.002168655395508
Denmark,149.7460479736328
Djibouti,800.0
Dominica,500.0
Dominican Republic,605.7243041992188
Ecuador,137.54824829101562
Egypt,389.01910400390625
El Salvador,245.82699584960938
Equatorial Guinea,628.3185424804688
Eritrea,659.0908813476562
Estonia,739.8695068359375
Eswatini,203.12498474121094
Ethiopia,25.44169807434082
Europe,269.897216796875
European Union (27),259.75299072265625
Faeroe Islands,428.57147216796875
Falkland Islands,500.0
Fiji,292.92926025390625
Finland,68.8335952758789
France,58.47919845581055
French Guiana,350.5154724121094
French Polynesia,469.69696044921875
G20 (Ember),444.8736267089844
G7 (Ember),337.6940002441406
Gabon,294.9152526855469
Gambia,689.6551513671875
Georgia,111.37440490722656
Germany,352.4225158691406
Ghana,355.0472412109375
Greece,430.2586669921875
Greenland,118.6440658569336
Grenada,700.0
Guadeloupe,588.6076049804688
Guam,670.5882568359375
Guatemala,332.01580810546875
Guinea,175.0
Guinea-Bissau,750.0
Guyana,636.3635864257812
Haiti,606.3829956054688
High-income countries,320.9462585449219
Honduras,358.64593505859375
Hong Kong,644.8995361328125
Hungary,195.50254821777344
Iceland,28.754709243774414
India,626.007080078125
Indonesia,624.6788940429688
Iran,440.3962707519531
Iraq,419.7325134277344
Ireland,381.0868835449219
Israel,527.7727661132812
Italy,222.8386993408203
Jamaica,532.3383178710938
Japan,416.4961853027344
Jordan,432.203369140625
Kazakhstan,654.9423828125
Kenya,112.37928009033203
Kiribati,666.6666870117188
Kosovo,777.6119384765625
Kuwait,438.12188720703125
Kyrgyzstan,91.52751922607422
Laos,297.6309814453125
Latin America and Caribbean (Ember),260.08209228515625
Latvia,171.61119079589844
Lebanon,544.8916625976562
Lesotho,20.0
Liberia,292.13482666015625
Libya,496.51043701171875
Lithuania,209.03082275390625
Low-income countries,312.5
Lower-middle-income countries,412.587158203125
Luxembourg,425.23486328125
Macao,482.14288330078125
Madagascar,452.8302001953125
Malawi,113.20755767822266
Malaysia,541.0005493164062
Maldives,701.75439453125
Mali,465.625
Malta,406.5040588378906
Martinique,653.5947875976562
Mauritania,522.727294921875
Mauritius,613.138671875
Mexico,373.8074645996094
Middle East (Ember),527.3986206054688
Moldova,629.8568115234375
Mongolia,725.9740600585938
Montenegro,350.6849060058594
Montserrat,1000.0
Morocco,571.064453125
Mozambique,129.7752685546875
Myanmar,311.1015625
Namibia,56.60377502441406
Nauru,750.0
Nepal,22.653722763061523
Netherlands,328.9040832519531
New Caledonia,640.0
New Zealand,135.98497009277344
Nicaragua,343.34765625
Niger,675.0000610351562
Nigeria,395.2414855957031
North America,324.81817626953125
North Korea,149.55203247070312
North Macedonia,349.11407470703125
Norway,25.08072280883789
OECD (Ember),338.28802490234375
Oceania,436.3691711425781
Oman,440.5309753417969
Pakistan,295.77447509765625
Palestine,629.0322265625
Panama,183.3941650390625
Papua New Guinea,563.6793212890625
Paraguay,23.915685653686523
Peru,233.979248046875
Philippines,544.3023071289062
Poland,727.7764892578125
Portugal,181.10256958007812
Puerto Rico,664.772705078125
Qatar,442.76171875
Reunion,449.3243408203125
Romania,252.8423614501953
Russia,336.4832458496094
Rwanda,289.1566162109375
Saint Kitts and Nevis,666.6666870117188
Saint Lucia,696.9697265625
Saint Pierre and Miquelon,800.0
Saint Vincent and the Grenadines,533.3333129882812
Samoa,500.0
Sao Tome and Principe,600.0
Saudi Arabia,568.5000610351562
Senegal,534.4202880859375
Serbia,545.552001953125
Seychelles,698.11328125
Sierra Leone,47.619049072265625
Singapore,463.8966369628906
Slovakia,100.85781860351562
Slovenia,250.87905883789062
Solomon Islands,700.0
Somalia,648.6486206054688
South Africa,664.737548828125
South America,166.18478393554688
South Korea,423.8267517089844
South Sudan,698.11328125
Spain,169.03445434570312
Sri Lanka,439.22418212890625
Sudan,259.31231689453125
Suriname,298.7012939453125
Sweden,11.770537376403809
Switzerland,57.77264404296875
Syria,545.2244873046875
Taiwan,567.4732055664062
Tajikistan,83.28968811035156
Tanzania,380.2228698730469
Thailand,503.1549377441406
Timor,700.0
Togo,576.9231567382812
Tonga,666.6666870117188
Trinidad and Tobago,497.96881103515625
Tunisia,470.3814697265625
Turkey,429.6387939453125
Turkmenistan,412.32855224609375
